,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1041,0.0622,0.003,0.170,0.127,1000
2,0.6,0.04,0.0720,0.1043,0.0636,0.003,0.173,0.128,1000
3,1.2,0.09,0.1408,0.1045,0.0652,0.003,0.178,0.128,1000
4,1.7,0.13,0.2065,0.1047,0.0668,0.003,0.182,0.128,1000
5,2.3,0.18,0.2690,0.1049,0.0685,0.003,0.187,0.128,1000
6,2.9,0.22,0.3282,0.1051,0.0703,0.003,0.192,0.129,1000
7,3.5,0.26,0.3841,0.1054,0.0723,0.003,0.197,0.129,1000
8,4.1,0.31,0.4367,0.1056,0.0743,0.003,0.203,0.129,1000
9,4.7,0.35,0.4862,0.1057,0.0764,0.003,0.208,0.129,1000
10,5.2,0.40,0.5324,0.1058,0.0785,0.003,0.214,0.129,1000
11,5.8,0.44,0.5755,0.1057,0.0807,0.003,0.220,0.129,1000
12,6.4,0.48,0.6156,0.1055,0.0828,0.004,0.226,0.129,1000
13,7.0,0.53,0.6527,0.1049,0.0847,0.004,0.231,0.128,1000
14,7.6,0.57,0.6871,0.1037,0.0861,0.004,0.235,0.127,1000
15,8.2,0.61,0.7187,0.1017,0.0870,0.004,0.237,0.124,1000
16,8.7,0.66,0.7473,0.0989,0.0872,0.004,0.238,0.121,1000
17,9.3,0.70,0.7727,0.0952,0.0866,0.004,0.236,0.117,1000
18,9.9,0.75,0.7949,0.0906,0.0851,0.004,0.232,0.111,1000
19,10.5,0.79,0.8135,0.0849,0.0825,0.004,0.225,0.104,1000
20,11.1,0.83,0.8285,0.0782,0.0788,0.003,0.215,0.096,1000
21,11.6,0.88,0.8401,0.0710,0.0742,0.003,0.202,0.087,1000
22,12.2,0.92,0.8484,0.0636,0.0691,0.003,0.189,0.078,1000
23,12.8,0.97,0.8542,0.0562,0.0635,0.003,0.173,0.069,1000
24,13.4,1.01,0.8579,0.0486,0.0572,0.002,0.156,0.059,1000
25,14.0,1.05,0.8595,0.0408,0.0501,0.002,0.137,0.050,1000
26,14.6,1.10,0.8576,0.0329,0.0421,0.002,0.115,0.040,1000
27,15.1,1.14,0.8471,0.0248,0.0334,0.001,0.091,0.030,1000
28,15.7,1.19,0.8094,0.0166,0.0243,0.001,0.066,0.020,1000
29,16.3,1.23,0.6863,0.0084,0.0150,0.001,0.041,0.010,1000
30,16.9,1.27,-0.0011,0.0000,0.0055,0.000,0.015,0.000,1000
31,0.0,0.00,0.0000,0.1041,0.0623,0.022,0.679,0.509,2000
32,1.2,0.04,0.0719,0.1043,0.0637,0.022,0.695,0.510,2000
33,2.3,0.09,0.1406,0.1045,0.0652,0.023,0.711,0.511,2000
34,3.5,0.13,0.2063,0.1047,0.0669,0.023,0.729,0.513,2000
35,4.7,0.18,0.2687,0.1049,0.0686,0.024,0.748,0.514,2000
36,5.8,0.22,0.3279,0.1052,0.0704,0.024,0.768,0.515,2000
37,7.0,0.26,0.3838,0.1054,0.0723,0.025,0.789,0.516,2000
38,8.1,0.31,0.4363,0.1056,0.0744,0.026,0.811,0.517,2000
39,9.3,0.35,0.4857,0.1058,0.0765,0.026,0.834,0.518,2000
40,10.5,0.40,0.5320,0.1059,0.0786,0.027,0.858,0.518,2000
41,11.6,0.44,0.5751,0.1058,0.0808,0.028,0.881,0.518,2000
42,12.8,0.48,0.6152,0.1056,0.0829,0.029,0.904,0.517,2000
43,14.0,0.53,0.6525,0.1050,0.0848,0.029,0.925,0.514,2000
44,15.1,0.57,0.6868,0.1038,0.0863,0.030,0.941,0.508,2000
45,16.3,0.61,0.7184,0.1019,0.0872,0.030,0.951,0.499,2000
46,17.5,0.66,0.7471,0.0991,0.0873,0.030,0.953,0.485,2000
47,18.6,0.70,0.7726,0.0954,0.0868,0.030,0.946,0.467,2000
48,19.8,0.75,0.7948,0.0908,0.0853,0.030,0.930,0.445,2000
49,21.0,0.79,0.8134,0.0852,0.0828,0.029,0.903,0.417,2000
50,22.1,0.83,0.8286,0.0785,0.0790,0.027,0.862,0.384,2000
51,23.3,0.88,0.8401,0.0712,0.0744,0.026,0.812,0.349,2000
52,24.4,0.92,0.8486,0.0638,0.0694,0.024,0.756,0.312,2000
53,25.6,0.97,0.8543,0.0564,0.0637,0.022,0.695,0.276,2000
54,26.8,1.01,0.8580,0.0488,0.0574,0.020,0.626,0.239,2000
55,27.9,1.05,0.8596,0.0410,0.0502,0.017,0.548,0.201,2000
56,29.1,1.10,0.8577,0.0330,0.0422,0.015,0.461,0.162,2000
57,30.3,1.14,0.8470,0.0249,0.0335,0.012,0.365,0.122,2000
58,31.4,1.19,0.8094,0.0167,0.0244,0.008,0.266,0.082,2000
59,32.6,1.23,0.6868,0.0084,0.0150,0.005,0.164,0.041,2000
60,33.8,1.27,-0.0014,0.0000,0.0055,0.002,0.060,0.000,2000
61,0.0,0.00,0.0000,0.1038,0.0592,0.069,1.453,1.143,3000
62,1.7,0.04,0.0752,0.1040,0.0607,0.071,1.490,1.145,3000
63,3.5,0.09,0.1466,0.1042,0.0624,0.073,1.531,1.147,3000
64,5.2,0.13,0.2143,0.1044,0.0641,0.075,1.574,1.150,3000
65,7.0,0.18,0.2782,0.1046,0.0660,0.077,1.620,1.152,3000
66,8.7,0.22,0.3384,0.1048,0.0680,0.079,1.669,1.155,3000
67,10.5,0.26,0.3949,0.1051,0.0701,0.082,1.719,1.157,3000
68,12.2,0.31,0.4478,0.1053,0.0722,0.084,1.773,1.160,3000
69,14.0,0.35,0.4970,0.1054,0.0745,0.087,1.828,1.161,3000
70,15.7,0.39,0.5427,0.1055,0.0768,0.090,1.885,1.162,3000
71,17.5,0.44,0.5852,0.1055,0.0791,0.092,1.942,1.162,3000
72,19.2,0.48,0.6244,0.1053,0.0814,0.095,1.998,1.160,3000
