,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.0897,0.0313,0.003,0.166,0.187,1000
2,0.3,0.02,0.0565,0.0880,0.0314,0.003,0.167,0.184,1000
3,0.6,0.04,0.1105,0.0861,0.0314,0.003,0.167,0.180,1000
4,0.9,0.06,0.1618,0.0842,0.0315,0.003,0.167,0.176,1000
5,1.2,0.08,0.2105,0.0822,0.0315,0.003,0.167,0.172,1000
6,1.5,0.10,0.2564,0.0800,0.0315,0.003,0.167,0.167,1000
7,1.8,0.12,0.2996,0.0778,0.0314,0.003,0.167,0.162,1000
8,2.1,0.14,0.3400,0.0754,0.0313,0.003,0.166,0.157,1000
9,2.4,0.16,0.3776,0.0729,0.0311,0.003,0.166,0.152,1000
10,2.7,0.18,0.4123,0.0703,0.0309,0.003,0.164,0.147,1000
11,3.1,0.20,0.4442,0.0675,0.0307,0.003,0.163,0.141,1000
12,3.4,0.22,0.4734,0.0647,0.0303,0.003,0.161,0.135,1000
13,3.7,0.24,0.5000,0.0618,0.0299,0.003,0.159,0.129,1000
14,4.0,0.26,0.5239,0.0589,0.0295,0.002,0.157,0.123,1000
15,4.3,0.28,0.5454,0.0558,0.0289,0.002,0.154,0.117,1000
16,4.6,0.30,0.5645,0.0527,0.0282,0.002,0.150,0.110,1000
17,4.9,0.32,0.5811,0.0495,0.0275,0.002,0.146,0.103,1000
18,5.2,0.34,0.5956,0.0462,0.0266,0.002,0.141,0.096,1000
19,5.5,0.36,0.6082,0.0429,0.0256,0.002,0.136,0.090,1000
20,5.8,0.38,0.6191,0.0396,0.0245,0.002,0.130,0.083,1000
21,6.1,0.40,0.6271,0.0361,0.0232,0.002,0.124,0.075,1000
22,6.4,0.42,0.6315,0.0325,0.0218,0.002,0.116,0.068,1000
23,6.7,0.44,0.6316,0.0287,0.0201,0.002,0.107,0.060,1000
24,7.0,0.46,0.6260,0.0248,0.0184,0.002,0.098,0.052,1000
25,7.3,0.48,0.6121,0.0208,0.0165,0.001,0.088,0.043,1000
26,7.6,0.50,0.5855,0.0168,0.0145,0.001,0.077,0.035,1000
27,7.9,0.52,0.5391,0.0127,0.0123,0.001,0.066,0.026,1000
28,8.2,0.54,0.4531,0.0085,0.0102,0.001,0.054,0.018,1000
29,8.6,0.56,0.2917,0.0042,0.0081,0.001,0.043,0.009,1000
30,8.9,0.58,-0.0010,0.0000,0.0062,0.001,0.033,0.000,1000
31,0.0,0.00,0.0000,0.0898,0.0313,0.021,0.666,0.750,2000
32,0.6,0.02,0.0562,0.0881,0.0314,0.021,0.668,0.736,2000
33,1.2,0.04,0.1098,0.0863,0.0315,0.021,0.669,0.720,2000
34,1.8,0.06,0.1608,0.0843,0.0315,0.021,0.670,0.704,2000
35,2.4,0.08,0.2092,0.0823,0.0315,0.021,0.670,0.687,2000
36,3.0,0.10,0.2549,0.0801,0.0315,0.021,0.669,0.669,2000
37,3.6,0.12,0.2979,0.0779,0.0314,0.021,0.668,0.650,2000
